שם ספק,דגם,HomMe ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,COST,Cost+VIT,price shekel,price -10%,Price
GUBER,EUROPE,BR38,BR38,BR38A,,מלמין/MDF,GUBER EUROPE,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,DREAM,BR39,BR39,BR39A,,מלמין/MDF,GUBER DREAM,סט מלא לחדר שינה,,1815,2124,2973,,2973
GUBER,RIMON,BR40,BR40,BR40A,,מלמין/MDF,GUBER RIMON,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,ARGAMAN,BR41,BR41,BR41A,,מלמין/MDF,GUBER ARGAMAN,סט מלא לחדר שינה,,2000,2340,3276,,3276
GUBER,HALOMOT,BR42,BR42,BR42A,,מלמין/MDF,GUBER HALOMOT,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,INBAR,BR43,BR43,BR43A,,מלמין/MDF,GUBER INBAR,סט מלא לחדר שינה,,2690,3147,4406,,4406
GUBER,TAMAR,BR44,BR44,BR44A,,מלמין/MDF,GUBER TAMAR,סט מלא לחדר שינה,,1510,1767,2473,,2473
GUBER,PAZ,BR45,BR45,BR45A,,מלמין/MDF,GUBER PAZ,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,MALAGA,BR46,BR46,BR46A,,מלמין/MDF,GUBER MALAGA,סט מלא לחדר שינה,,1955,2287,3202,,3202
GUBER,NEW_YORK,BR47,BR47,BR47A,,מלמין/MDF,GUBER NEW_YORK,סט מלא לחדר שינה,,2480,2902,4062,,4062
GUBER,TIGER,BR48,BR48,BR48A,,מלמין/MDF,GUBER TIGER,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,BROSH,BR49,BR49,BR49A,,מלמין/MDF,GUBER BROSH,סט מלא לחדר שינה,,2215,2592,3628,,3628
GUBER,OR,BR50,BR50,BR50A,,מלמין/MDF,GUBER OR,סט מלא לחדר שינה,,1815,2124,2973,,2973
GUBER,PARIS,BR51,BR51,BR51A,,מלמין/MDF,GUBER PARIS,סט מלא לחדר שינה,,1910,2235,3129,,3129
GUBER,HOME,BR52,BR52,BR52A,,מלמין/MDF,GUBER HOME,סט מלא לחדר שינה,,1450,1697,2375,,2375
GUBER,KINERET,BR53,BR53,BR53A,,מלמין/MDF,GUBER KINERET,סט מלא לחדר שינה,,1300,1521,2129,,2129
GUBER,YAHALOM,BR54,BR54,BR54A,,מלמין/MDF,GUBER YAHALOM,סט מלא לחדר שינה,,1720,2012,2817,,2817
GUBER,JUNE,BR55,BR55,BR55A,,מלמין/MDF,GUBER JUNE,סט מלא לחדר שינה,,2050,2399,3358,,3358
